,00,01,10,11,xy,x'y,xy',x'y',x0,x1,x'0,x'1,0y,1y,0y',1y'
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.05,0.0025,0.05,0.905,0.0475,0.0025,0.05,0.905,0.0475,0.905,0.0025,0.0025,0.095,0.0025,0.05,0.05,0.9025
0.1,0.01,0.1,0.82,0.09,0.01,0.1,0.82,0.09,0.82,0.01,0.01,0.18,0.01,0.1,0.1,0.81
0.15000000000000002,0.0225,0.15,0.745,0.1275,0.0225,0.15,0.745,0.1275,0.745,0.0225,0.0225,0.255,0.0225,0.15,0.15,0.7225
0.2,0.04,0.2,0.68,0.16,0.04,0.2,0.68,0.16,0.68,0.04,0.04,0.32,0.04,0.2,0.2,0.64
0.25,0.0625,0.25,0.625,0.1875,0.0625,0.25,0.625,0.1875,0.625,0.0625,0.0625,0.375,0.0625,0.25,0.25,0.5625
0.30000000000000004,0.09,0.3,0.58,0.21,0.09,0.3,0.58,0.21,0.58,0.09,0.09,0.42,0.09,0.3,0.3,0.49
0.35000000000000003,0.1225,0.35,0.545,0.2275,0.1225,0.35,0.545,0.2275,0.545,0.1225,0.1225,0.455,0.1225,0.35,0.35,0.4225
0.4,0.16,0.4,0.52,0.24,0.16,0.4,0.52,0.24,0.52,0.16,0.16,0.48,0.16,0.4,0.4,0.36
0.45,0.2025,0.45,0.505,0.2475,0.2025,0.45,0.505,0.2475,0.505,0.2025,0.2025,0.495,0.2025,0.45,0.45,0.3025
0.5,0.25,0.5,0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.5,0.25
0.55,0.3025,0.55,0.505,0.2475,0.3025,0.55,0.505,0.2475,0.505,0.3025,0.3025,0.495,0.3025,0.55,0.55,0.2025
0.6000000000000001,0.36,0.6,0.52,0.24,0.36,0.6,0.52,0.24,0.52,0.36,0.36,0.48,0.36,0.6,0.6,0.16
0.65,0.4225,0.65,0.545,0.2275,0.4225,0.65,0.545,0.2275,0.545,0.4225,0.4225,0.455,0.4225,0.65,0.65,0.1225
0.7000000000000001,0.49,0.7,0.58,0.21,0.49,0.7,0.58,0.21,0.58,0.49,0.49,0.42,0.49,0.7,0.7,0.09
0.75,0.5625,0.75,0.625,0.1875,0.5625,0.75,0.625,0.1875,0.625,0.5625,0.5625,0.375,0.5625,0.75,0.75,0.0625
0.8,0.64,0.8,0.68,0.16,0.64,0.8,0.68,0.16,0.68,0.64,0.64,0.32,0.64,0.8,0.8,0.04
0.8500000000000001,0.7225,0.85,0.745,0.1275,0.7225,0.85,0.745,0.1275,0.745,0.7225,0.7225,0.255,0.7225,0.85,0.85,0.0225
0.9,0.81,0.9,0.82,0.09,0.81,0.9,0.82,0.09,0.82,0.81,0.81,0.18,0.81,0.9,0.9,0.01
0.9500000000000001,0.9025,0.95,0.905,0.0475,0.9025,0.95,0.905,0.0475,0.905,0.9025,0.9025,0.095,0.9025,0.95,0.95,0.0025
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
